year,unit,value,method_of_travel,breakdown_of_domestic_tourism,travel_type
2017,Million Visits,92.6,Car - own/friends/family,Visits,Car
2016,Million Visits,13.8,Bus or Coach - Regular,Visits,Bus
2015,Million Visits,0.8,Bicycle,Visits,Bicycle
2019,Million Visits,0.5,Boat/Ship/Ferry,Visits,Boat/Ship/Ferry
2013,Million Visits,0.7,Other,Visits,Other
2013,Million Visits,1.7,Car - hired,Visits,Car
2014,Million Visits,127.1,All,Visits,Other
2019,Million Visits,133.6,All,Visits,Other
2018,Million Visits,11.2,Walked,Visits,Walked
2017,Million Visits,0.5,Boat/Ship/Ferry,Visits,Boat/Ship/Ferry
2015,Million Visits,0.2,Motor cycle,Visits,Motorcycle
2017,Million Visits,13.2,Bus or Coach - Regular,Visits,Bus
2013,Million Visits,12.8,Bus or Coach - Regular,Visits,Bus
2019,Million Visits,0.4,Tram,Visits,Tram
2017,Million Visits,0.6,Tram,Visits,Tram
2014,Million Visits,0.4,Tram,Visits,Tram
2013,Million Visits,0,Tram,Visits,Tram
2016,Million Visits,0.9,Bicycle,Visits,Bicycle
2016,Million Visits,91.9,Car - own/friends/family,Visits,Car
2018,Million Visits,12.2,Bus or Coach - Regular,Visits,Bus
2018,Million Visits,84.2,Car - own/friends/family,Visits,Car
2013,Million Visits,79.7,Car - own/friends/family,Visits,Car
2016,Million Visits,0.2,Tram,Visits,Tram
2015,Million Visits,0.2,Caravan/Campervan,Visits,Caravan
